cr_id,trial,producer_model,evaluator_model,run_id,available_modules,known_interfaces,ours_output_file,baseline_output_file,evaluation_output_file,winner,why,ours_total_score,baseline_total_score,pure_fr_ours,pure_fr_baseline,fr_dp_bridge_ours,fr_dp_bridge_baseline,dp_im_bridge_ours,dp_im_bridge_baseline,pure_im_ours,pure_im_baseline,fr_im_bridge_ours,fr_im_bridge_baseline
CR-NGHE-002,7,gpt-4.1-mini,gemini-3-flash-preview,CR-NGHE-002_trial7_gpt41mini_evalby_gemini3flashpreview,NGHE Solution|Vehicle|Teleoperation|Safety Services,Telemetry|Tasking|SafetyAlert|Network Link,..\output\gemini3_experiment\workflow_gpt41mini_CR-NGHE-002_trial7_20260224_132043.json,..\output\gemini3_experiment\baseline_gpt41mini_CR-NGHE-002_trial7_20260224_132106.json,,OURS,"Score totals (excluding N/A): ours=20, baseline=18",20,18,5,3,3,4,5,3,3,3,4,5
CR-NGHE-002,7,gpt-4.1-mini,claude-haiku-4-5,CR-NGHE-002_trial7_gpt41mini_evalby_claudehaiku45,NGHE Solution|Vehicle|Teleoperation|Safety Services,Telemetry|Tasking|SafetyAlert|Network Link,..\output\gemini3_experiment\workflow_gpt41mini_CR-NGHE-002_trial7_20260224_132043.json,..\output\gemini3_experiment\baseline_gpt41mini_CR-NGHE-002_trial7_20260224_132106.json,,BASELINE,"Score totals (excluding N/A): ours=17, baseline=20",17,20,3,2,3,4,4,5,4,5,3,4
CR-NGHE-002,7,claude-haiku-4-5,gemini-3-flash-preview,CR-NGHE-002_trial7_claudehaiku45_evalby_gemini3flashpreview,NGHE Solution|Vehicle|Teleoperation|Safety Services,Telemetry|Tasking|SafetyAlert|Network Link,..\output\gemini3_experiment\workflow_claudehaiku45_CR-NGHE-002_trial7_20260224_132242.json,..\output\gemini3_experiment\baseline_claudehaiku45_CR-NGHE-002_trial7_20260224_132319.json,,OURS,"Score totals (excluding N/A): ours=24, baseline=14",24,14,5,2,5,3,5,3,4,3,5,3
CR-NGHE-002,7,claude-haiku-4-5,gpt-4.1-mini,CR-NGHE-002_trial7_claudehaiku45_evalby_gpt41mini,NGHE Solution|Vehicle|Teleoperation|Safety Services,Telemetry|Tasking|SafetyAlert|Network Link,..\output\gemini3_experiment\workflow_claudehaiku45_CR-NGHE-002_trial7_20260224_132242.json,..\output\gemini3_experiment\baseline_claudehaiku45_CR-NGHE-002_trial7_20260224_132319.json,,OURS,"Score totals (excluding N/A): ours=24, baseline=18",24,18,4,3,5,3,5,4,5,4,5,4
CR-NGHE-002,8,gemini-3-flash-preview,gpt-4.1-mini,CR-NGHE-002_trial8_gemini3flashpreview_evalby_gpt41mini,NGHE Solution|Vehicle|Teleoperation|Safety Services,Telemetry|Tasking|SafetyAlert|Network Link,..\output\gemini3_experiment\workflow_gemini3flashpreview_CR-NGHE-002_trial8_20260223_014114.json,..\output\gemini3_experiment\baseline_gemini3flashpreview_CR-NGHE-002_trial8_20260223_014125.json,,OURS,"Score totals (excluding N/A): ours=22, baseline=18",22,18,5,3,4,4,4,3,4,4,5,4
CR-NGHE-002,8,gemini-3-flash-preview,claude-haiku-4-5,CR-NGHE-002_trial8_gemini3flashpreview_evalby_claudehaiku45,NGHE Solution|Vehicle|Teleoperation|Safety Services,Telemetry|Tasking|SafetyAlert|Network Link,..\output\gemini3_experiment\workflow_gemini3flashpreview_CR-NGHE-002_trial8_20260223_014114.json,..\output\gemini3_experiment\baseline_gemini3flashpreview_CR-NGHE-002_trial8_20260223_014125.json,,OURS,"Score totals (excluding N/A): ours=20, baseline=17",20,17,4,3,3,4,4,2,4,4,5,4
CR-NGHE-002,8,gpt-4.1-mini,gemini-3-flash-preview,CR-NGHE-002_trial8_gpt41mini_evalby_gemini3flashpreview,NGHE Solution|Vehicle|Teleoperation|Safety Services,Telemetry|Tasking|SafetyAlert|Network Link,..\output\gemini3_experiment\workflow_gpt41mini_CR-NGHE-002_trial8_20260224_132439.json,..\output\gemini3_experiment\baseline_gpt41mini_CR-NGHE-002_trial8_20260224_132501.json,,BASELINE,"Score totals (excluding N/A): ours=16, baseline=23",16,23,3,4,3,5,3,5,4,4,3,5
CR-NGHE-002,8,gpt-4.1-mini,claude-haiku-4-5,CR-NGHE-002_trial8_gpt41mini_evalby_claudehaiku45,NGHE Solution|Vehicle|Teleoperation|Safety Services,Telemetry|Tasking|SafetyAlert|Network Link,..\output\gemini3_experiment\workflow_gpt41mini_CR-NGHE-002_trial8_20260224_132439.json,..\output\gemini3_experiment\baseline_gpt41mini_CR-NGHE-002_trial8_20260224_132501.json,,BASELINE,"Score totals (excluding N/A): ours=15, baseline=19",15,19,2,3,3,4,3,4,4,4,3,4
CR-NGHE-002,8,claude-haiku-4-5,gemini-3-flash-preview,CR-NGHE-002_trial8_claudehaiku45_evalby_gemini3flashpreview,NGHE Solution|Vehicle|Teleoperation|Safety Services,Telemetry|Tasking|SafetyAlert|Network Link,..\output\gemini3_experiment\workflow_claudehaiku45_CR-NGHE-002_trial8_20260224_132635.json,..\output\gemini3_experiment\baseline_claudehaiku45_CR-NGHE-002_trial8_20260224_132709.json,,OURS,"Score totals (excluding N/A): ours=25, baseline=14",25,14,5,2,5,2,5,2,5,4,5,4
CR-NGHE-002,8,claude-haiku-4-5,gpt-4.1-mini,CR-NGHE-002_trial8_claudehaiku45_evalby_gpt41mini,NGHE Solution|Vehicle|Teleoperation|Safety Services,Telemetry|Tasking|SafetyAlert|Network Link,..\output\gemini3_experiment\workflow_claudehaiku45_CR-NGHE-002_trial8_20260224_132635.json,..\output\gemini3_experiment\baseline_claudehaiku45_CR-NGHE-002_trial8_20260224_132709.json,,OURS,"Score totals (excluding N/A): ours=24, baseline=16",24,16,5,2,5,3,4,3,5,4,5,4
CR-NGHE-002,9,gemini-3-flash-preview,gpt-4.1-mini,CR-NGHE-002_trial9_gemini3flashpreview_evalby_gpt41mini,NGHE Solution|Vehicle|Teleoperation|Safety Services,Telemetry|Tasking|SafetyAlert|Network Link,..\output\gemini3_experiment\workflow_gemini3flashpreview_CR-NGHE-002_trial9_20260223_014143.json,..\output\gemini3_experiment\baseline_gemini3flashpreview_CR-NGHE-002_trial9_20260223_014153.json,,OURS,"Score totals (excluding N/A): ours=22, baseline=18",22,18,5,3,4,4,4,3,4,4,5,4
CR-NGHE-002,9,gemini-3-flash-preview,claude-haiku-4-5,CR-NGHE-002_trial9_gemini3flashpreview_evalby_claudehaiku45,NGHE Solution|Vehicle|Teleoperation|Safety Services,Telemetry|Tasking|SafetyAlert|Network Link,..\output\gemini3_experiment\workflow_gemini3flashpreview_CR-NGHE-002_trial9_20260223_014143.json,..\output\gemini3_experiment\baseline_gemini3flashpreview_CR-NGHE-002_trial9_20260223_014153.json,,OURS,"Score totals (excluding N/A): ours=20, baseline=17",20,17,4,3,3,4,4,2,4,4,5,4
CR-NGHE-002,9,gpt-4.1-mini,gemini-3-flash-preview,CR-NGHE-002_trial9_gpt41mini_evalby_gemini3flashpreview,NGHE Solution|Vehicle|Teleoperation|Safety Services,Telemetry|Tasking|SafetyAlert|Network Link,..\output\gemini3_experiment\workflow_gpt41mini_CR-NGHE-002_trial9_20260224_132818.json,..\output\gemini3_experiment\baseline_gpt41mini_CR-NGHE-002_trial9_20260224_132835.json,,OURS,"Score totals (excluding N/A): ours=21, baseline=16",21,16,5,3,2,4,5,3,4,3,5,3
CR-NGHE-002,9,gpt-4.1-mini,claude-haiku-4-5,CR-NGHE-002_trial9_gpt41mini_evalby_claudehaiku45,NGHE Solution|Vehicle|Teleoperation|Safety Services,Telemetry|Tasking|SafetyAlert|Network Link,..\output\gemini3_experiment\workflow_gpt41mini_CR-NGHE-002_trial9_20260224_132818.json,..\output\gemini3_experiment\baseline_gpt41mini_CR-NGHE-002_trial9_20260224_132835.json,,OURS,"Score totals (excluding N/A): ours=20, baseline=12",20,12,4,2,4,2,4,3,4,3,4,2
CR-NGHE-002,9,claude-haiku-4-5,gemini-3-flash-preview,CR-NGHE-002_trial9_claudehaiku45_evalby_gemini3flashpreview,NGHE Solution|Vehicle|Teleoperation|Safety Services,Telemetry|Tasking|SafetyAlert|Network Link,..\output\gemini3_experiment\workflow_claudehaiku45_CR-NGHE-002_trial9_20260224_132958.json,..\output\gemini3_experiment\baseline_claudehaiku45_CR-NGHE-002_trial9_20260224_133029.json,,OURS,"Score totals (excluding N/A): ours=21, baseline=20",21,20,3,5,5,3,3,5,5,4,5,3
CR-NGHE-002,9,claude-haiku-4-5,gpt-4.1-mini,CR-NGHE-002_trial9_claudehaiku45_evalby_gpt41mini,NGHE Solution|Vehicle|Teleoperation|Safety Services,Telemetry|Tasking|SafetyAlert|Network Link,..\output\gemini3_experiment\workflow_claudehaiku45_CR-NGHE-002_trial9_20260224_132958.json,..\output\gemini3_experiment\baseline_claudehaiku45_CR-NGHE-002_trial9_20260224_133029.json,,OURS,"Score totals (excluding N/A): ours=24, baseline=20",24,20,5,3,4,3,5,5,5,5,5,4
CR-NGHE-002,10,gemini-3-flash-preview,gpt-4.1-mini,CR-NGHE-002_trial10_gemini3flashpreview_evalby_gpt41mini,NGHE Solution|Vehicle|Teleoperation|Safety Services,Telemetry|Tasking|SafetyAlert|Network Link,..\output\gemini3_experiment\workflow_gemini3flashpreview_CR-NGHE-002_trial10_20260223_014211.json,..\output\gemini3_experiment\baseline_gemini3flashpreview_CR-NGHE-002_trial10_20260223_014222.json,,OURS,"Score totals (excluding N/A): ours=22, baseline=18",22,18,5,3,4,4,4,3,4,4,5,4
CR-NGHE-002,10,gemini-3-flash-preview,claude-haiku-4-5,CR-NGHE-002_trial10_gemini3flashpreview_evalby_claudehaiku45,NGHE Solution|Vehicle|Teleoperation|Safety Services,Telemetry|Tasking|SafetyAlert|Network Link,..\output\gemini3_experiment\workflow_gemini3flashpreview_CR-NGHE-002_trial10_20260223_014211.json,..\output\gemini3_experiment\baseline_gemini3flashpreview_CR-NGHE-002_trial10_20260223_014222.json,,OURS,"Score totals (excluding N/A): ours=20, baseline=17",20,17,4,3,3,4,4,2,4,4,5,4
CR-NGHE-002,10,gpt-4.1-mini,gemini-3-flash-preview,CR-NGHE-002_trial10_gpt41mini_evalby_gemini3flashpreview,NGHE Solution|Vehicle|Teleoperation|Safety Services,Telemetry|Tasking|SafetyAlert|Network Link,..\output\gemini3_experiment\workflow_gpt41mini_CR-NGHE-002_trial10_20260224_133146.json,..\output\gemini3_experiment\baseline_gpt41mini_CR-NGHE-002_trial10_20260224_133202.json,,BASELINE,"Score totals (excluding N/A): ours=17, baseline=20",17,20,3,4,3,4,5,4,3,3,3,5
CR-NGHE-002,10,gpt-4.1-mini,claude-haiku-4-5,CR-NGHE-002_trial10_gpt41mini_evalby_claudehaiku45,NGHE Solution|Vehicle|Teleoperation|Safety Services,Telemetry|Tasking|SafetyAlert|Network Link,..\output\gemini3_experiment\workflow_gpt41mini_CR-NGHE-002_trial10_20260224_133146.json,..\output\gemini3_experiment\baseline_gpt41mini_CR-NGHE-002_trial10_20260224_133202.json,,OURS,"Score totals (excluding N/A): ours=17, baseline=16",17,16,3,2,3,4,4,3,4,3,3,4
CR-NGHE-002,10,claude-haiku-4-5,gemini-3-flash-preview,CR-NGHE-002_trial10_claudehaiku45_evalby_gemini3flashpreview,NGHE Solution|Vehicle|Teleoperation|Safety Services,Telemetry|Tasking|SafetyAlert|Network Link,..\output\gemini3_experiment\workflow_claudehaiku45_CR-NGHE-002_trial10_20260224_133333.json,..\output\gemini3_experiment\baseline_claudehaiku45_CR-NGHE-002_trial10_20260224_133402.json,,OURS,"Score totals (excluding N/A): ours=21, baseline=15",21,15,2,4,5,3,5,2,4,3,5,3
CR-NGHE-002,10,claude-haiku-4-5,gpt-4.1-mini,CR-NGHE-002_trial10_claudehaiku45_evalby_gpt41mini,NGHE Solution|Vehicle|Teleoperation|Safety Services,Telemetry|Tasking|SafetyAlert|Network Link,..\output\gemini3_experiment\workflow_claudehaiku45_CR-NGHE-002_trial10_20260224_133333.json,..\output\gemini3_experiment\baseline_claudehaiku45_CR-NGHE-002_trial10_20260224_133402.json,,OURS,"Score totals (excluding N/A): ours=25, baseline=18",25,18,5,3,5,3,5,4,5,5,5,3
CR-NGHE-002,11,gemini-3-flash-preview,gpt-4.1-mini,CR-NGHE-002_trial11_gemini3flashpreview_evalby_gpt41mini,NGHE Solution|Vehicle|Teleoperation|Safety Services,Telemetry|Tasking|SafetyAlert|Network Link,..\output\gemini3_experiment\workflow_gemini3flashpreview_CR-NGHE-002_trial11_20260223_014241.json,..\output\gemini3_experiment\baseline_gemini3flashpreview_CR-NGHE-002_trial11_20260223_014250.json,,OURS,"Score totals (excluding N/A): ours=22, baseline=18",22,18,5,3,4,4,4,3,4,4,5,4
CR-NGHE-002,11,gemini-3-flash-preview,claude-haiku-4-5,CR-NGHE-002_trial11_gemini3flashpreview_evalby_claudehaiku45,NGHE Solution|Vehicle|Teleoperation|Safety Services,Telemetry|Tasking|SafetyAlert|Network Link,..\output\gemini3_experiment\workflow_gemini3flashpreview_CR-NGHE-002_trial11_20260223_014241.json,..\output\gemini3_experiment\baseline_gemini3flashpreview_CR-NGHE-002_trial11_20260223_014250.json,,OURS,"Score totals (excluding N/A): ours=20, baseline=17",20,17,4,3,3,4,4,2,4,4,5,4
CR-NGHE-002,11,gpt-4.1-mini,gemini-3-flash-preview,CR-NGHE-002_trial11_gpt41mini_evalby_gemini3flashpreview,NGHE Solution|Vehicle|Teleoperation|Safety Services,Telemetry|Tasking|SafetyAlert|Network Link,..\output\gemini3_experiment\workflow_gpt41mini_CR-NGHE-002_trial11_20260224_133517.json,..\output\gemini3_experiment\baseline_gpt41mini_CR-NGHE-002_trial11_20260224_133534.json,,OURS,"Score totals (excluding N/A): ours=19, baseline=18",19,18,5,2,5,3,3,5,3,3,3,5
CR-NGHE-002,11,gpt-4.1-mini,claude-haiku-4-5,CR-NGHE-002_trial11_gpt41mini_evalby_claudehaiku45,NGHE Solution|Vehicle|Teleoperation|Safety Services,Telemetry|Tasking|SafetyAlert|Network Link,..\output\gemini3_experiment\workflow_gpt41mini_CR-NGHE-002_trial11_20260224_133517.json,..\output\gemini3_experiment\baseline_gpt41mini_CR-NGHE-002_trial11_20260224_133534.json,,BASELINE,"Score totals (excluding N/A): ours=16, baseline=17",16,17,2,2,4,3,3,4,4,4,3,4
CR-NGHE-002,11,claude-haiku-4-5,gemini-3-flash-preview,CR-NGHE-002_trial11_claudehaiku45_evalby_gemini3flashpreview,NGHE Solution|Vehicle|Teleoperation|Safety Services,Telemetry|Tasking|SafetyAlert|Network Link,..\output\gemini3_experiment\workflow_claudehaiku45_CR-NGHE-002_trial11_20260224_133711.json,..\output\gemini3_experiment\baseline_claudehaiku45_CR-NGHE-002_trial11_20260224_133744.json,,OURS,"Score totals (excluding N/A): ours=22, baseline=16",22,16,5,4,3,4,5,2,4,3,5,3
CR-NGHE-002,11,claude-haiku-4-5,gpt-4.1-mini,CR-NGHE-002_trial11_claudehaiku45_evalby_gpt41mini,NGHE Solution|Vehicle|Teleoperation|Safety Services,Telemetry|Tasking|SafetyAlert|Network Link,..\output\gemini3_experiment\workflow_claudehaiku45_CR-NGHE-002_trial11_20260224_133711.json,..\output\gemini3_experiment\baseline_claudehaiku45_CR-NGHE-002_trial11_20260224_133744.json,,OURS,"Score totals (excluding N/A): ours=25, baseline=18",25,18,5,3,5,4,5,4,5,4,5,3
CR-NGHE-002,12,gemini-3-flash-preview,gpt-4.1-mini,CR-NGHE-002_trial12_gemini3flashpreview_evalby_gpt41mini,NGHE Solution|Vehicle|Teleoperation|Safety Services,Telemetry|Tasking|SafetyAlert|Network Link,..\output\gemini3_experiment\workflow_gemini3flashpreview_CR-NGHE-002_trial12_20260223_014310.json,..\output\gemini3_experiment\baseline_gemini3flashpreview_CR-NGHE-002_trial12_20260223_014320.json,,OURS,"Score totals (excluding N/A): ours=22, baseline=18",22,18,5,3,4,4,4,3,4,4,5,4
CR-NGHE-002,12,gemini-3-flash-preview,claude-haiku-4-5,CR-NGHE-002_trial12_gemini3flashpreview_evalby_claudehaiku45,NGHE Solution|Vehicle|Teleoperation|Safety Services,Telemetry|Tasking|SafetyAlert|Network Link,..\output\gemini3_experiment\workflow_gemini3flashpreview_CR-NGHE-002_trial12_20260223_014310.json,..\output\gemini3_experiment\baseline_gemini3flashpreview_CR-NGHE-002_trial12_20260223_014320.json,,OURS,"Score totals (excluding N/A): ours=19, baseline=17",19,17,4,3,3,4,4,2,4,4,4,4
CR-NGHE-002,12,gpt-4.1-mini,gemini-3-flash-preview,CR-NGHE-002_trial12_gpt41mini_evalby_gemini3flashpreview,NGHE Solution|Vehicle|Teleoperation|Safety Services,Telemetry|Tasking|SafetyAlert|Network Link,..\output\gemini3_experiment\workflow_gpt41mini_CR-NGHE-002_trial12_20260224_133915.json,..\output\gemini3_experiment\baseline_gpt41mini_CR-NGHE-002_trial12_20260224_133932.json,,OURS,"Score totals (excluding N/A): ours=21, baseline=17",21,17,5,2,3,4,5,4,3,3,5,4
CR-NGHE-002,12,gpt-4.1-mini,claude-haiku-4-5,CR-NGHE-002_trial12_gpt41mini_evalby_claudehaiku45,NGHE Solution|Vehicle|Teleoperation|Safety Services,Telemetry|Tasking|SafetyAlert|Network Link,..\output\gemini3_experiment\workflow_gpt41mini_CR-NGHE-002_trial12_20260224_133915.json,..\output\gemini3_experiment\baseline_gpt41mini_CR-NGHE-002_trial12_20260224_133932.json,,TIE,"Score totals (excluding N/A): ours=18, baseline=18",18,18,3,2,3,4,4,4,4,4,4,4
CR-NGHE-002,12,claude-haiku-4-5,gemini-3-flash-preview,CR-NGHE-002_trial12_claudehaiku45_evalby_gemini3flashpreview,NGHE Solution|Vehicle|Teleoperation|Safety Services,Telemetry|Tasking|SafetyAlert|Network Link,..\output\gemini3_experiment\workflow_claudehaiku45_CR-NGHE-002_trial12_20260224_134106.json,..\output\gemini3_experiment\baseline_claudehaiku45_CR-NGHE-002_trial12_20260224_134147.json,,OURS,"Score totals (excluding N/A): ours=22, baseline=16",22,16,5,2,2,4,5,3,5,4,5,3
CR-NGHE-002,12,claude-haiku-4-5,gpt-4.1-mini,CR-NGHE-002_trial12_claudehaiku45_evalby_gpt41mini,NGHE Solution|Vehicle|Teleoperation|Safety Services,Telemetry|Tasking|SafetyAlert|Network Link,..\output\gemini3_experiment\workflow_claudehaiku45_CR-NGHE-002_trial12_20260224_134106.json,..\output\gemini3_experiment\baseline_claudehaiku45_CR-NGHE-002_trial12_20260224_134147.json,,OURS,"Score totals (excluding N/A): ours=25, baseline=15",25,15,5,2,5,3,5,3,5,4,5,3
CR-NGHE-002,13,gemini-3-flash-preview,gpt-4.1-mini,CR-NGHE-002_trial13_gemini3flashpreview_evalby_gpt41mini,NGHE Solution|Vehicle|Teleoperation|Safety Services,Telemetry|Tasking|SafetyAlert|Network Link,..\output\gemini3_experiment\workflow_gemini3flashpreview_CR-NGHE-002_trial13_20260223_014341.json,..\output\gemini3_experiment\baseline_gemini3flashpreview_CR-NGHE-002_trial13_20260223_014352.json,,OURS,"Score totals (excluding N/A): ours=22, baseline=19",22,19,5,4,4,4,4,3,4,4,5,4
CR-NGHE-002,13,gemini-3-flash-preview,claude-haiku-4-5,CR-NGHE-002_trial13_gemini3flashpreview_evalby_claudehaiku45,NGHE Solution|Vehicle|Teleoperation|Safety Services,Telemetry|Tasking|SafetyAlert|Network Link,..\output\gemini3_experiment\workflow_gemini3flashpreview_CR-NGHE-002_trial13_20260223_014341.json,..\output\gemini3_experiment\baseline_gemini3flashpreview_CR-NGHE-002_trial13_20260223_014352.json,,OURS,"Score totals (excluding N/A): ours=20, baseline=17",20,17,4,3,3,4,4,2,4,4,5,4
CR-NGHE-002,13,gpt-4.1-mini,gemini-3-flash-preview,CR-NGHE-002_trial13_gpt41mini_evalby_gemini3flashpreview,NGHE Solution|Vehicle|Teleoperation|Safety Services,Telemetry|Tasking|SafetyAlert|Network Link,..\output\gemini3_experiment\workflow_gpt41mini_CR-NGHE-002_trial13_20260224_134308.json,..\output\gemini3_experiment\baseline_gpt41mini_CR-NGHE-002_trial13_20260224_134329.json,,OURS,"Score totals (excluding N/A): ours=19, baseline=18",19,18,5,3,3,5,5,3,3,3,3,4
CR-NGHE-002,13,gpt-4.1-mini,claude-haiku-4-5,CR-NGHE-002_trial13_gpt41mini_evalby_claudehaiku45,NGHE Solution|Vehicle|Teleoperation|Safety Services,Telemetry|Tasking|SafetyAlert|Network Link,..\output\gemini3_experiment\workflow_gpt41mini_CR-NGHE-002_trial13_20260224_134308.json,..\output\gemini3_experiment\baseline_gpt41mini_CR-NGHE-002_trial13_20260224_134329.json,,OURS,"Score totals (excluding N/A): ours=20, baseline=13",20,13,4,2,4,2,5,2,4,3,3,4
CR-NGHE-002,13,claude-haiku-4-5,gemini-3-flash-preview,CR-NGHE-002_trial13_claudehaiku45_evalby_gemini3flashpreview,NGHE Solution|Vehicle|Teleoperation|Safety Services,Telemetry|Tasking|SafetyAlert|Network Link,..\output\gemini3_experiment\workflow_claudehaiku45_CR-NGHE-002_trial13_20260224_134506.json,..\output\gemini3_experiment\baseline_claudehaiku45_CR-NGHE-002_trial13_20260224_134547.json,,OURS,"Score totals (excluding N/A): ours=24, baseline=18",24,18,5,3,5,3,5,4,5,3,4,5
CR-NGHE-002,13,claude-haiku-4-5,gpt-4.1-mini,CR-NGHE-002_trial13_claudehaiku45_evalby_gpt41mini,NGHE Solution|Vehicle|Teleoperation|Safety Services,Telemetry|Tasking|SafetyAlert|Network Link,..\output\gemini3_experiment\workflow_claudehaiku45_CR-NGHE-002_trial13_20260224_134506.json,..\output\gemini3_experiment\baseline_claudehaiku45_CR-NGHE-002_trial13_20260224_134547.json,,OURS,"Score totals (excluding N/A): ours=25, baseline=22",25,22,5,3,5,4,5,5,5,5,5,5
CR-NGHE-002,14,gemini-3-flash-preview,gpt-4.1-mini,CR-NGHE-002_trial14_gemini3flashpreview_evalby_gpt41mini,NGHE Solution|Vehicle|Teleoperation|Safety Services,Telemetry|Tasking|SafetyAlert|Network Link,..\output\gemini3_experiment\workflow_gemini3flashpreview_CR-NGHE-002_trial14_20260223_014410.json,..\output\gemini3_experiment\baseline_gemini3flashpreview_CR-NGHE-002_trial14_20260223_014419.json,,OURS,"Score totals (excluding N/A): ours=22, baseline=18",22,18,5,3,4,4,4,3,4,4,5,4
CR-NGHE-002,14,gemini-3-flash-preview,claude-haiku-4-5,CR-NGHE-002_trial14_gemini3flashpreview_evalby_claudehaiku45,NGHE Solution|Vehicle|Teleoperation|Safety Services,Telemetry|Tasking|SafetyAlert|Network Link,..\output\gemini3_experiment\workflow_gemini3flashpreview_CR-NGHE-002_trial14_20260223_014410.json,..\output\gemini3_experiment\baseline_gemini3flashpreview_CR-NGHE-002_trial14_20260223_014419.json,,OURS,"Score totals (excluding N/A): ours=21, baseline=17",21,17,4,3,3,4,4,2,5,4,5,4
CR-NGHE-002,14,gpt-4.1-mini,gemini-3-flash-preview,CR-NGHE-002_trial14_gpt41mini_evalby_gemini3flashpreview,NGHE Solution|Vehicle|Teleoperation|Safety Services,Telemetry|Tasking|SafetyAlert|Network Link,..\output\gemini3_experiment\workflow_gpt41mini_CR-NGHE-002_trial14_20260224_134708.json,..\output\gemini3_experiment\baseline_gpt41mini_CR-NGHE-002_trial14_20260224_134730.json,,OURS,"Score totals (excluding N/A): ours=22, baseline=16",22,16,5,3,4,3,4,3,4,4,5,3
CR-NGHE-002,14,gpt-4.1-mini,claude-haiku-4-5,CR-NGHE-002_trial14_gpt41mini_evalby_claudehaiku45,NGHE Solution|Vehicle|Teleoperation|Safety Services,Telemetry|Tasking|SafetyAlert|Network Link,..\output\gemini3_experiment\workflow_gpt41mini_CR-NGHE-002_trial14_20260224_134708.json,..\output\gemini3_experiment\baseline_gpt41mini_CR-NGHE-002_trial14_20260224_134730.json,,OURS,"Score totals (excluding N/A): ours=20, baseline=16",20,16,4,3,4,3,4,3,4,4,4,3
CR-NGHE-002,14,claude-haiku-4-5,gemini-3-flash-preview,CR-NGHE-002_trial14_claudehaiku45_evalby_gemini3flashpreview,NGHE Solution|Vehicle|Teleoperation|Safety Services,Telemetry|Tasking|SafetyAlert|Network Link,..\output\gemini3_experiment\workflow_claudehaiku45_CR-NGHE-002_trial14_20260224_134911.json,..\output\gemini3_experiment\baseline_claudehaiku45_CR-NGHE-002_trial14_20260224_134950.json,,OURS,"Score totals (excluding N/A): ours=25, baseline=17",25,17,5,3,5,4,5,3,5,3,5,4
CR-NGHE-002,14,claude-haiku-4-5,gpt-4.1-mini,CR-NGHE-002_trial14_claudehaiku45_evalby_gpt41mini,NGHE Solution|Vehicle|Teleoperation|Safety Services,Telemetry|Tasking|SafetyAlert|Network Link,..\output\gemini3_experiment\workflow_claudehaiku45_CR-NGHE-002_trial14_20260224_134911.json,..\output\gemini3_experiment\baseline_claudehaiku45_CR-NGHE-002_trial14_20260224_134950.json,,OURS,"Score totals (excluding N/A): ours=24, baseline=22",24,22,5,3,5,5,5,4,4,5,5,5
CR-NGHE-002,15,gemini-3-flash-preview,gpt-4.1-mini,CR-NGHE-002_trial15_gemini3flashpreview_evalby_gpt41mini,NGHE Solution|Vehicle|Teleoperation|Safety Services,Telemetry|Tasking|SafetyAlert|Network Link,..\output\gemini3_experiment\workflow_gemini3flashpreview_CR-NGHE-002_trial15_20260223_014438.json,..\output\gemini3_experiment\baseline_gemini3flashpreview_CR-NGHE-002_trial15_20260223_014449.json,,OURS,"Score totals (excluding N/A): ours=22, baseline=18",22,18,5,3,4,4,4,3,4,4,5,4
CR-NGHE-002,15,gemini-3-flash-preview,claude-haiku-4-5,CR-NGHE-002_trial15_gemini3flashpreview_evalby_claudehaiku45,NGHE Solution|Vehicle|Teleoperation|Safety Services,Telemetry|Tasking|SafetyAlert|Network Link,..\output\gemini3_experiment\workflow_gemini3flashpreview_CR-NGHE-002_trial15_20260223_014438.json,..\output\gemini3_experiment\baseline_gemini3flashpreview_CR-NGHE-002_trial15_20260223_014449.json,,OURS,"Score totals (excluding N/A): ours=21, baseline=17",21,17,4,3,3,4,4,2,5,4,5,4
CR-NGHE-002,15,gpt-4.1-mini,gemini-3-flash-preview,CR-NGHE-002_trial15_gpt41mini_evalby_gemini3flashpreview,NGHE Solution|Vehicle|Teleoperation|Safety Services,Telemetry|Tasking|SafetyAlert|Network Link,..\output\gemini3_experiment\workflow_gpt41mini_CR-NGHE-002_trial15_20260224_135115.json,..\output\gemini3_experiment\baseline_gpt41mini_CR-NGHE-002_trial15_20260224_135135.json,,OURS,"Score totals (excluding N/A): ours=20, baseline=17",20,17,5,2,2,4,5,4,3,3,5,4
CR-NGHE-002,15,gpt-4.1-mini,claude-haiku-4-5,CR-NGHE-002_trial15_gpt41mini_evalby_claudehaiku45,NGHE Solution|Vehicle|Teleoperation|Safety Services,Telemetry|Tasking|SafetyAlert|Network Link,..\output\gemini3_experiment\workflow_gpt41mini_CR-NGHE-002_trial15_20260224_135115.json,..\output\gemini3_experiment\baseline_gpt41mini_CR-NGHE-002_trial15_20260224_135135.json,,OURS,"Score totals (excluding N/A): ours=24, baseline=16",24,16,5,2,4,3,5,4,5,4,5,3
CR-NGHE-002,15,claude-haiku-4-5,gemini-3-flash-preview,CR-NGHE-002_trial15_claudehaiku45_evalby_gemini3flashpreview,NGHE Solution|Vehicle|Teleoperation|Safety Services,Telemetry|Tasking|SafetyAlert|Network Link,..\output\gemini3_experiment\workflow_claudehaiku45_CR-NGHE-002_trial15_20260224_135316.json,..\output\gemini3_experiment\baseline_claudehaiku45_CR-NGHE-002_trial15_20260224_135352.json,,OURS,"Score totals (excluding N/A): ours=21, baseline=16",21,16,5,3,2,4,5,2,5,2,4,5
